#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 01 04 14 13 999 99.0 99.0  1.38 11.11  8.03 303 9999.0 999.0  14.2 999.0 99.0 99.00
2010 01 04 14 43 999 99.0 99.0  1.26 10.53  7.74 310 9999.0 999.0  14.2 999.0 99.0 99.00
2010 01 04 15 13 999 99.0 99.0  1.25  9.88  7.84 301 9999.0 999.0  14.2 999.0 99.0 99.00
2010 01 04 15 43 999 99.0 99.0  1.27  9.88  8.11 306 9999.0 999.0  14.2 999.0 99.0 99.00
2010 01 04 16 13 999 99.0 99.0  1.19 13.33  8.46 253 9999.0 999.0  14.2 999.0 99.0 99.00
2010 01 04 16 43 999 99.0 99.0  1.23 11.76  8.58 276 9999.0 999.0  14.2 999.0 99.0 99.00
2010 01 04 17 13 999 99.0 99.0  1.19 11.11  8.86 290 9999.0 999.0  14.2 999.0 99.0 99.00
2010 01 04 17 43 999 99.0 99.0  1.23 10.53  8.74 310 9999.0 999.0  14.2 999.0 99.0 99.00
2010 01 04 18 13 999 99.0 99.0  1.25 12.50  9.02 261 9999.0 999.0  14.2 999.0 99.0 99.00
2010 01 04 18 43 999 99.0 99.0  1.21 10.53  8.88 298 9999.0 999.0  14.3 999.0 99.0 99.00
2010 01 04 19 43 999 99.0 99.0  1.18 10.53  9.36 301 9999.0 999.0  14.4 999.0 99.0 99.00
2010 01 04 23 43 999 99.0 99.0  1.22 16.67  7.32 296 9999.0 999.0  14.4 999.0 99.0 99.00
2010 01 05 00 13 999 99.0 99.0  1.19 18.18  7.36 293 9999.0 999.0  14.4 999.0 99.0 99.00
2010 01 05 00 43 999 99.0 99.0  1.20 16.67  7.47 293 9999.0 999.0  14.3 999.0 99.0 99.00
2010 01 05 01 13 999 99.0 99.0  1.20 16.67  7.26 296 9999.0 999.0  14.4 999.0 99.0 99.00
2010 01 05 01 43 999 99.0 99.0  1.17 16.67  7.04 291 9999.0 999.0  14.3 999.0 99.0 99.00
2010 01 05 02 13 999 99.0 99.0  1.16 16.67  6.92 280 9999.0 999.0  14.3 999.0 99.0 99.00
2010 01 05 02 43 999 99.0 99.0  1.23 16.67  7.78 296 9999.0 999.0  14.3 999.0 99.0 99.00
2010 01 05 03 13 999 99.0 99.0  1.20 16.67  7.62 297 9999.0 999.0  14.3 999.0 99.0 99.00
2010 01 05 03 43 999 99.0 99.0  1.12 18.18  7.09 291 9999.0 999.0  14.3 999.0 99.0 99.00
2010 01 05 04 13 999 99.0 99.0  1.03 16.67  7.01 291 9999.0 999.0  14.3 999.0 99.0 99.00
2010 01 05 04 43 999 99.0 99.0  1.17 16.67  8.11 297 9999.0 999.0  14.3 999.0 99.0 99.00
2010 01 05 05 13 999 99.0 99.0  1.10 16.67  7.87 294 9999.0 999.0  14.3 999.0 99.0 99.00
2010 01 05 05 43 999 99.0 99.0  1.16 16.67  8.36 290 9999.0 999.0  14.3 999.0 99.0 99.00
2010 01 05 06 13 999 99.0 99.0  1.26 16.67  8.34 280 9999.0 999.0  14.3 999.0 99.0 99.00
2010 01 05 06 43 999 99.0 99.0  1.27 16.67  8.37 296 9999.0 999.0  14.3 999.0 99.0 99.00
2010 01 05 07 13 999 99.0 99.0  1.25 16.67  8.12 287 9999.0 999.0  14.3 999.0 99.0 99.00
2010 01 05 07 43 999 99.0 99.0  1.27 16.67  7.41 294 9999.0 999.0  14.3 999.0 99.0 99.00
